"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"650","SHAWN.MATTHIAS","2012-2013","Regular","C","FLA",48,728.12,14,5,2,7,21,19,1.15,0.41,0.16,0.58,1.73,1.57,169,13.93,8.28,133,10.96,10.53,106,8.73,13.21,8.84,0.73,6.64,29,2.39,66,55,4,16,21,153,194,44.09,8,5,-3,5,4,26.7
"651","SHAWN.THORNTON","2012-2013","Regular","L","BOS",45,364.55,3,1,3,4,7,4,0.49,0.16,0.49,0.66,1.15,0.66,98,16.13,3.06,72,11.85,4.17,55,9.05,5.45,3.85,0.63,5.35,12,1.98,77,37,3,11,13,7,10,41.18,13,6,-7,5,2,35.87
"652","SHEA.WEBER","2012-2013","Regular","D","NSH",48,1240.4,9,8,11,19,28,17,0.44,0.39,0.53,0.92,1.35,0.82,239,11.56,3.77,176,8.51,5.11,124,6,7.26,7.73,0.37,4.39,11,0.53,112,40,36,14,90,0,0,NA,9,9,0,7,8,41.92
"653","SHELDON.BROOKBANK","2012-2013","Regular","D","CHI",26,331.53,1,0,0,0,1,1,0.18,0,0,0,0.18,0.18,52,9.41,1.92,38,6.88,2.63,25,4.52,4,1.4,0.25,3.68,4,0.72,28,40,15,8,34,0,1,0,9,2,-7,0,4,41.84
"654","SHELDON.SOURAY","2012-2013","Regular","D","ANA",44,914.4,7,2,8,10,17,9,0.46,0.13,0.52,0.66,1.12,0.59,167,10.96,4.19,107,7.02,6.54,80,5.25,8.75,3.86,0.25,3.6,5,0.33,34,20,32,9,58,1,0,100,23,2,-21,2,2,48.26
"655","SIDNEY.CROSBY","2012-2013","Regular","C","PIT",36,757.68,15,28,13,41,56,43,1.19,2.22,1.03,3.25,4.43,3.41,203,16.08,7.39,168,13.3,8.93,124,9.82,12.1,14.99,1.19,8.92,56,4.43,21,38,28,15,18,453,381,54.32,8,15,7,16,6,21.49
"656","SIMON.DESPRES","2012-2013","Regular","D","PIT",33,498.36,2,3,2,5,7,5,0.24,0.36,0.24,0.6,0.84,0.6,62,7.46,3.23,42,5.06,4.76,33,3.97,6.06,1.36,0.16,3.23,1,0.12,48,53,16,4,31,0,0,NA,10,1,-9,1,0,43.59
"657","SIMON.GAGNE","2012-2013","Regular","L","L.A/PHI",38,536.52,5,5,6,11,16,10,0.56,0.56,0.67,1.23,1.79,1.12,135,15.1,3.7,103,11.52,4.85,76,8.5,6.58,8.03,0.9,7.79,30,3.35,24,33,10,17,15,2,0,100,5,4,-1,7,4,27.19
"658","SLAVA.VOYNOV","2012-2013","Regular","D","L.A",48,1067.66,6,9,10,19,25,15,0.34,0.51,0.56,1.07,1.4,0.84,196,11.01,3.06,124,6.97,4.84,79,4.44,7.59,4.37,0.25,3.52,6,0.34,83,96,38,8,48,2,0,100,7,4,-3,4,7,49.8
"659","STEFAN.ELLIOTT","2012-2013","Regular","D","COL",18,315.06,1,3,0,3,4,4,0.19,0.57,0,0.57,0.76,0.76,78,14.85,1.28,49,9.33,2.04,35,6.67,2.86,1.74,0.33,3.55,3,0.57,10,21,6,8,18,0,0,NA,1,0,-1,1,1,42.29
"660","STEFAN.MATTEAU","2012-2013","Regular","C","N.J",17,156.19,1,2,0,2,3,3,0.38,0.77,0,0.77,1.15,1.15,28,10.76,3.57,23,8.84,4.35,22,8.45,4.55,1.45,0.56,6.3,5,1.92,25,21,4,5,1,0,4,0,2,1,-1,1,1,26.9
"661","STEPHANE.DA COSTA","2012-2013","Regular","C","OTT",9,106.59,1,1,0,1,2,2,0.56,0.56,0,0.56,1.13,1.13,35,19.7,2.86,25,14.07,4,15,8.44,6.67,2.22,1.25,8.87,9,5.07,8,13,4,1,1,39,25,60.94,0,2,2,3,0,24.82
"662","STEPHANE.ROBIDAS","2012-2013","Regular","D","DAL",48,1062.23,1,5,7,12,13,6,0.06,0.28,0.4,0.68,0.73,0.34,129,7.29,0.78,80,4.52,1.25,46,2.6,2.17,2.49,0.14,3.11,2,0.11,136,133,18,9,93,0,0,NA,20,10,-10,10,2,49.61
"663","STEPHEN.GIONTA","2012-2013","Regular","R","N.J",48,623.72,4,5,5,10,14,9,0.38,0.48,0.48,0.96,1.35,0.87,95,9.14,4.21,86,8.27,4.65,58,5.58,6.9,6.67,0.64,7.75,27,2.6,87,52,6,21,14,137,253,35.13,NA,14,NA,2,4,26.47
"664","STEPHEN.WEISS","2012-2013","Regular","C","FLA",17,313.14,1,2,1,3,4,3,0.19,0.38,0.19,0.57,0.77,0.57,40,7.66,2.5,26,4.98,3.85,19,3.64,5.26,1.65,0.32,6.36,4,0.77,6,23,2,13,10,141,135,51.09,5,0,-5,1,1,30.1
"665","STEVE.BEGIN","2012-2013","Regular","L","CGY",36,288.34,4,0,4,4,8,4,0.83,0,0.83,0.83,1.66,0.83,58,12.07,6.9,49,10.2,8.16,31,6.45,12.9,2.9,0.6,5.92,10,2.08,62,15,7,4,21,57,60,48.72,5,3,-2,3,2,26.27
