"","Player","Season","Season.Type","Position","Team","GP","TOI","G","A1","A2","A","P","P1","G60","A160","A260","A60","P60","P160","iCF","iCF60","iCSh%","iFF","iFF60","iFSh%","iSF","iSF60","iSh%","ixG","ixG60","ixFSh%","iSCF","iSCF60","iHF","iHA","iGVA","iTKA","iBLK","iFOW","iFOL","iFO%","iPENT","iPEND","iPENDIFF","iRB","iRS","Avg.DIST"
"680","SAMI.VATANEN","2013-2014","Regular","D","ANA",48,835.56,6,9,6,15,21,15,0.43,0.65,0.43,1.08,1.51,1.08,166,11.92,3.61,112,8.04,5.36,73,5.24,8.22,4.76,0.34,4.25,5,0.36,66,79,22,15,47,0,0,NA,11,11,0,3,8,37.47
"681","SCOTT.GOMEZ","2013-2014","Regular","C","FLA",46,604.01,2,4,6,10,12,6,0.2,0.4,0.6,0.99,1.19,0.6,88,8.74,2.27,71,7.05,2.82,56,5.56,3.57,3.81,0.38,5.37,11,1.09,16,33,15,20,16,239,276,46.41,12,7,-5,3,2,29.92
"682","SCOTT.HANNAN","2013-2014","Regular","D","S.J",56,993.96,3,4,5,9,12,7,0.18,0.24,0.3,0.54,0.72,0.42,105,6.34,2.86,78,4.71,3.85,52,3.14,5.77,3.13,0.19,4.01,6,0.36,29,76,23,13,73,0,0,NA,14,4,-10,4,4,43.92
"683","SCOTT.HARTNELL","2013-2014","Regular","L","PHI",78,1307.77,20,19,13,32,52,39,0.92,0.87,0.6,1.47,2.39,1.79,354,16.24,5.65,296,13.58,6.76,207,9.5,9.66,22.89,1.05,7.73,94,4.31,155,113,35,19,39,4,14,22.22,35,30,-5,15,10,29.14
"684","SCOTTIE.UPSHALL","2013-2014","Regular","R","FLA",76,1208.56,15,16,6,22,37,31,0.74,0.79,0.3,1.09,1.84,1.54,280,13.9,5.36,210,10.43,7.14,161,7.99,9.32,13.62,0.68,6.48,41,2.04,134,122,15,35,25,32,39,45.07,33,28,-5,7,13,29.53
"685","SCOTT.MAYFIELD","2013-2014","Regular","D","NYI",5,85.82,0,0,0,0,0,0,0,0,0,0,0,0,13,9.09,0,8,5.59,0,7,4.89,0,0.26,0.18,3.28,1,0.7,7,4,2,2,8,0,0,NA,2,2,0,0,0,46.45
"686","SEAN.BERGENHEIM","2013-2014","Regular","L","FLA",62,1022.4,16,10,3,13,29,26,0.94,0.59,0.18,0.76,1.7,1.53,310,18.19,5.16,265,15.55,6.04,190,11.15,8.42,21.12,1.24,7.97,85,4.99,111,85,16,27,18,2,2,50,17,14,-3,17,18,26.27
"687","SEAN.COUTURIER","2013-2014","Regular","C","PHI",82,1562.51,13,16,10,26,39,29,0.5,0.61,0.38,1,1.5,1.11,279,10.71,4.66,224,8.6,5.8,165,6.34,7.88,14.93,0.57,6.67,58,2.23,64,119,40,47,40,646,707,47.75,14,15,1,12,10,28.96
"688","SEAN.MONAHAN","2013-2014","Regular","C","CGY",75,1196.38,22,8,4,12,34,30,1.1,0.4,0.2,0.6,1.71,1.5,250,12.54,8.8,184,9.23,11.96,140,7.02,15.71,14.52,0.73,7.89,53,2.66,42,33,31,26,23,476,560,45.95,4,5,1,9,14,30.09
"689","SERGEI.GONCHAR","2013-2014","Regular","D","DAL",76,1339.18,2,8,12,20,22,10,0.09,0.36,0.54,0.9,0.99,0.45,210,9.41,0.95,129,5.78,1.55,89,3.99,2.25,4.32,0.19,3.35,5,0.22,71,97,33,10,81,0,0,NA,11,7,-4,3,6,48.08
